,data_sign,sample_num,n,oa,aa,kappa
89,pavia,10,3,92.59476174858267,91.3410996118031,90.25501310679432
88,pavia,10,4,93.45218572834185,92.68128954815427,91.38221828353653
32,pavia,15,0,90.3051054149762,91.25023822321701,87.24754154904123
28,pavia,15,1,94.56860767805632,93.50004355954592,92.75816522814743
86,pavia,15,2,93.3608498862597,93.11677429329944,91.23633706218163
21,pavia,15,3,92.28676625782697,91.54492076983085,89.82270553325026
42,pavia,15,4,95.01653338336344,94.43566165495331,93.38092271815933
18,pavia,20,0,96.60296741478072,95.48757266914785,95.49212522340146
85,pavia,20,1,92.55798666541459,94.4044321956621,90.28551259672514
71,pavia,20,2,96.57479575547,95.32190724363177,95.44845479361108
8,pavia,20,3,96.04188186684196,95.1266739412923,94.75891200864028
87,pavia,20,4,95.5160108930416,94.89415762955227,94.07150432090715
56,pavia,25,0,97.1046508895208,96.97273752183006,96.17126305005102
74,pavia,25,1,96.41606542736952,96.42397013741609,95.2652854569336
81,pavia,25,2,94.86498554675565,95.62777805152703,93.23255701542492
38,pavia,25,3,94.49601654485205,94.26091979623004,92.68026608444971
37,pavia,25,4,97.22685718314493,96.57628522937436,96.32271438489309
17,pavia,30,0,96.83574083658777,97.1554276230752,95.81034785103071
75,pavia,30,1,96.7651625652849,97.26993771461395,95.73046603902603
51,pavia,30,2,96.047616807039,96.37376348689695,94.76307441851681
47,pavia,30,3,95.2971345221851,96.4666207468775,93.82220420896046
33,pavia,30,4,96.06173246129957,97.55414470350881,94.83077318189204
4,salinas,5,0,92.75102222057762,95.68750641053498,91.95277278165682
27,salinas,5,1,92.51420007770726,95.82212702610524,91.65873175212518
59,salinas,5,2,92.9286388277304,95.96101159473692,92.1489502908877
14,salinas,5,3,90.99335787896167,93.69044808166504,89.95683859820477
52,salinas,5,4,91.85183814686673,95.41507718793454,90.97000744423053
11,salinas,10,0,94.68213233522948,98.01795010540968,94.09869163232358
57,salinas,10,1,94.0262002260557,97.02759374210792,93.36043387858656
84,salinas,10,2,94.14849265318979,97.53054174790843,93.50337857884344
48,salinas,10,3,93.2665048453742,97.36400913467709,92.5341466184315
78,salinas,10,4,93.2035057162445,96.69933394103022,92.46653953803127
54,salinas,15,0,96.15505947410418,98.11286188116001,95.71888578571074
7,salinas,15,1,96.07155449164023,98.19795289719643,95.6301255288175
49,salinas,15,2,95.11217502644325,97.69383566226249,94.56217230507349
20,salinas,15,3,93.00042680324371,96.91733988611149,92.20946071732003
31,salinas,15,4,96.13279147878046,98.24490520880921,95.70101892312312
79,salinas,20,0,94.8726049545615,97.39646068619896,94.27942113999461
58,salinas,20,1,95.74606478470145,98.10899920636291,95.27145193864892
83,salinas,20,2,95.31305171997249,98.00321129672321,94.78802211887027
45,salinas,20,3,95.51562006355813,97.89025519321638,95.00658364207071
70,salinas,20,4,95.55836384247989,97.96482136220553,95.05840034609282
44,salinas,25,0,95.1460105343483,98.1456666784494,94.60247478669343
6,salinas,25,1,91.59857804909825,97.09545040185364,90.70145430557362
26,salinas,25,2,94.54298423570138,97.80184144895452,93.92972610046267
30,salinas,25,3,94.93755699901357,97.60383922440631,94.36211292766788
34,salinas,25,4,95.03806138212138,97.9590148086077,94.47592540641861
40,salinas,30,0,96.85175865346977,98.69624210260721,96.49594227681106
9,salinas,30,1,96.9654606796026,98.69470685694341,96.62131325592742
5,salinas,30,2,96.56470763667542,98.0174205695959,96.17665824368473
68,salinas,30,3,96.13785904676695,98.46017391406352,95.70072117508833
72,salinas,30,4,96.30188819922087,98.57484527575873,95.88482603642628
